KOMMUNEDK;ULLIG;TID;INDHOLD
Hele landet;Gini-koefficient;1990;22,16
Hele landet;Gini-koefficient;1991;21,99
Hele landet;Gini-koefficient;1992;22,34
Hele landet;Gini-koefficient;1993;22,79
Hele landet;Gini-koefficient;1994;22,50
Hele landet;Gini-koefficient;1995;22,41
Hele landet;Gini-koefficient;1996;22,83
Hele landet;Gini-koefficient;1997;23,47
Hele landet;Gini-koefficient;1998;23,81
Hele landet;Gini-koefficient;1999;23,83
Hele landet;Gini-koefficient;2000;24,38
Hele landet;Gini-koefficient;2001;24,40
Hele landet;Gini-koefficient;2002;24,03
Hele landet;Gini-koefficient;2003;24,14
Hele landet;Gini-koefficient;2004;24,68
Hele landet;Gini-koefficient;2005;25,66
Hele landet;Gini-koefficient;2006;26,28
Hele landet;Gini-koefficient;2007;27,02
Hele landet;Gini-koefficient;2008;27,94
Hele landet;Gini-koefficient;2009;26,74
Hele landet;Gini-koefficient;2010;27,47
Hele landet;Gini-koefficient;2011;27,68
Hele landet;Gini-koefficient;2012;27,37
Hele landet;Gini-koefficient;2013;27,88
Hele landet;Gini-koefficient;2014;28,33
Hele landet;Gini-koefficient;2015;28,77
Hele landet;Gini-koefficient;2016;28,97
Hele landet;Gini-koefficient;2017;29,32
Hele landet;Gini-koefficient;2018;29,10
Hele landet;Gini-koefficient;2019;29,55
Hele landet;Gini-koefficient;2020;29,72
Hele landet;Gini-koefficient;2021;30,28
Hele landet;Gini-koefficient;2022;29,96
Hele landet;Gini-koefficient;2023;30,61
Hele landet;Gini-koefficient;2024;30,43
